x1 x2 x3 x4 label
36 87 70 88 1
88 12 58 65 1
39 87 46 88 1
81 37 25 77 1
72 9 20 80 1
69 79 47 64 1
82 99 88 49 1
29 19 19 14 1
39 32 65 9 1
57 32 31 74 1
23 35 75 55 0
28 34 0 0 1
36 53 5 38 1
17 79 4 42 1
58 31 1 65 1
41 57 35 11 1
46 82 91 0 1
14 99 53 12 1
42 84 75 68 1
6 68 47 3 1
76 52 78 15 1
20 99 58 23 1
79 13 85 48 1
49 69 41 35 1
64 95 69 94 1
0 50 36 34 0
48 93 3 98 1
42 77 21 73 1
0 10 43 58 0
23 59 2 98 1
62 35 94 67 1
82 46 99 20 1
81 50 27 14 1
41 58 65 36 1
10 86 43 11 1
2 51 80 32 0
54 0 38 19 1
46 42 56 60 1
77 30 24 2 1
3 94 98 13 0
40 72 19 95 1
72 26 66 52 1
67 61 14 96 1
4 67 11 86 1
77 75 56 16 1
24 29 21 25 1
80 60 61 83 1
33 32 70 85 0
31 13 71 56 0
24 79 41 18 1
40 54 79 11 1
38 93 1 95 1
44 88 24 67 1
82 3 76 35 1
86 61 69 87 1
43 32 11 84 1
10 54 37 28 1
2 27 83 89 0
23 53 51 46 1
20 53 29 67 1
35 39 9 73 1
41 23 3 46 1
90 50 3 31 1
9 10 27 45 0
71 39 61 85 1
97 44 34 34 1
88 33 5 36 1
0 75 34 69 1
53 80 62 8 1
61 1 81 35 1
91 40 36 48 1
25 67 35 30 1
29 33 18 17 1
93 84 2 69 1
12 44 66 91 0
85 39 39 75 1
22 30 17 70 1
71 18 92 43 1
83 49 41 93 1
46 21 73 89 1
96 91 73 28 1
81 58 0 86 1
63 16 36 94 1
24 63 67 51 1
8 56 91 93 0
87 32 19 72 1
71 87 13 58 1
81 55 64 75 1
92 36 25 32 1
42 14 86 28 0
20 82 68 22 1
99 83 7 72 1
61 13 5 0 1
8 79 79 53 0
11 4 39 92 0
45 26 74 52 1
49 91 51 99 1
18 34 51 30 0
53 58 43 55 1
18 45 87 65 0
70 53 48 94 1
59 80 26 35 1
58 49 73 44 1
13 70 38 39 1
8 13 7 80 1
22 79 89 8 0
99 6 81 71 1
84 89 66 60 1
16 56 23 24 1
4 49 87 30 0
54 25 20 97 1
57 23 27 29 1
33 53 51 86 1
7 9 54 0 0
